trust,surprise## the wonders of modern science   ##wonder
trust,surprise## a small token in admiration of your works   ##admiration
sadness## his opinion carries great weight   ##weight
sadness## the progression implied an increasing weightiness of the items listed   ##weight
sadness## bowed down by the weight of responsibility   ##weight
sadness## he placed two weights in the scale pan   ##weight
trust## he was quick to point out his wife's failings   ##weakness
trust## in spite of their weakness the group remains active   ##weakness
trust## his weakness increased as he became older   ##weakness
trust## the weakness of the span was overlooked until it collapsed   ##weakness
trust## the weakness of the dollar against the yen   ##weakness
trust## he has a weakness for chocolate   ##weakness
trust## an agreeable warmth in the house   ##warmth
anger## he took offence at my question   ##offense
anger## a long record of crimes   ##offense
anticipation## the convulsions of the stock market   ##turmoil
joy## a narrow victory   ##triumph
joy## the general always gets credit for his army's victory   ##triumph
joy## clinched a victory   ##triumph
joy## convincing victory   ##triumph
joy## the agreement was a triumph for common sense   ##triumph
anticipation,fear## the matter remained in suspense for several years   ##suspense
anticipation,fear## the play kept the audience in suspense   ##suspense
anticipation## he made a great splash and then disappeared   ##stir
sadness## he tried to express his sorrow at her loss   ##sorrow
sadness## he drank to drown his sorrows   ##sorrow
sadness## he wrote a note expressing his regret   ##sorrow
sadness## to his rue, the error cost him the game   ##sorrow
sadness## her death was a great grief to John   ##sorrow
sadness## she tired of his perpetual sadness   ##sorrow
trust## the best results are generally obtained by inserting the needle into the point of maximum tenderness   ##tenderness
trust## after taking a cold, rawness of the larynx and trachea come on   ##tenderness
trust## he had trouble expressing the affection he felt   ##tenderness
trust## the child won everyone's heart   ##tenderness
trust## the warmness of his welcome made us feel right at home   ##tenderness
fear## they still talk about the sinking of the Titanic   ##sinking
fear## after several hours of sinking an unexpected rally rescued the market   ##sinking
fear## he could not control the sinking of his legs   ##sinking
fear## with a sinking heart   ##sinking
fear## a sinking feeling in the pit of my stomach   ##sinking
disgust## one mistake brought shame to all his family   ##shame
disgust## suffered the ignominy of being sent to prison   ##shame
disgust## it's a pity he couldn't do it   ##shame
fear## he moved off into the darkness   ##shadow
fear## a ghostly apparition at midnight   ##shadow
fear## a shadow over his happiness   ##shadow
fear## there wasn't a trace of evidence for the claim   ##shadow
fear## a tincture of condescension   ##shadow
fear## he felt secure in his father's shadow   ##shadow
fear## he received little recognition working in the shadow of his father   ##shadow
fear## the poor child was his mother's shadow   ##shadow
anticipation## a sensation of touch   ##sensation
anticipation## anticipation produced in me a sensation somewhere between hope and fear   ##sensation
anticipation## the news caused a sensation   ##sensation
anticipation## in the dark he had to depend on touch and on his senses of smell and hearing   ##sensation
fear## panic in the stock market   ##scare
fear## a war scare   ##scare
fear## a bomb scare led them to evacuate the building   ##scare
joy## the chef tasted the sauce with great satisfaction   ##satisfaction
joy## dull repetitious work gives no gratification   ##satisfaction
joy## to my immense gratification he arrived on time   ##satisfaction
joy## we were unable to get satisfaction from the local store   ##satisfaction
joy## the full and final satisfaction of the claim   ##satisfaction
joy## the satisfaction of their demand for better services   ##satisfaction
surprise,fear## care had aged him   ##fear
surprise,fear## they hushed it up out of fear of public reaction   ##fear
surprise,fear## the fear of God   ##fear
surprise,fear## the Chinese reverence for the dead   ##fear
surprise,fear## the French treat food with gentle reverence   ##fear
surprise,fear## his respect for the law bordered on veneration   ##fear
surprise,fear## he stared over the edge with a feeling of awe   ##awe
fear## he submitted his resignation as of next month   ##resignation
fear## they were protected until the capitulation of the fort   ##surrender
disgust,fear## the painting that others found so beautiful was a horror to him   ##horror
trust## it differs in that respect   ##regard
trust## his attentiveness to her wishes   ##regard
trust## he spends without heed to the consequences   ##regard
trust## give him my kind regards   ##regard
trust## my best wishes   ##regard
trust## he fixed his paternal gaze on me   ##regard
trust## it is held in esteem   ##regard
trust## a man who has earned high regard   ##regard
trust## she mistook his manly regard for love   ##regard
trust## he inspires respect   ##regard
trust## she lost all respect for him   ##regard
trust## his deference to her wishes was very flattering   ##respect
trust## be sure to give my respects to the dean   ##respect
trust## their children were never very strong on obedience   ##respect
trust## he went to law school out of respect for his father's wishes   ##respect
trust## in deference to your wishes   ##respect
trust## out of respect for his privacy   ##respect
joy## he takes pride in his son's success   ##pride
trust## my own preference is for good literature   ##preference
trust## the Irish have a penchant for blarney   ##preference
trust## a predilection for expensive cars   ##preference
trust## his sexual preferences   ##preference
trust## showed a Marxist orientation   ##preference
trust## given my druthers, I'd eat cake   ##preference
trust## the candy left him with a bad taste   ##taste
trust## the melon had a delicious taste   ##taste
trust## arrogance and lack of taste contributed to his rapid success   ##taste
trust## to ask at that particular time was the ultimate in bad taste   ##taste
trust## he got a taste of life on the wild side   ##taste
trust## she enjoyed her brief taste of independence   ##taste
trust## take a taste--you'll like it   ##taste
trust## his cold deprived him of his sense of taste   ##taste
trust## a wine tasting   ##taste
anger## his temper sparked like damp firewood   ##pique
anger## whether he praised or cursed me depended on his temper at the time   ##temper
anger## he was in a bad humor   ##temper
anger## his temper was well known to all his employees   ##temper
anger## any food produced irritation of the stomach   ##irritation
fear## he was the terror of the neighborhood   ##terror
fear## he used terror to make them confess   ##terror
sadness## the tyrant's oppression of the people   ##oppression
sadness## the misery and wretchedness of those slums is intolerable   ##misery
sadness## she was exhausted by her misery and grief   ##misery
disgust## several of his submissions were rejected by publishers   ##submission
disgust## what was the date of submission of your proposal?   ##submission
disgust## the union was brought into submission   ##submission
disgust## his submission to the will of God   ##submission
trust## his long commitment to public service   ##loyalty
trust## they felt no loyalty to a losing team   ##loyalty
trust,joy## his love for his work   ##love
trust,joy## children need a lot of love   ##love
trust,joy## the theater was her first love   ##love
trust,joy## he has a passion for cock fighting   ##love
trust,joy## their love left them indifferent to their surroundings   ##love
trust,joy## she was his first love   ##love
trust,joy## it was 40 love   ##love
trust,joy## his lovemaking disgusted her   ##love
trust,joy## he hadn't had any love in months   ##love
trust,joy## he has a very complicated love life   ##love
trust## I've always had a liking for reading   ##liking
trust## she developed a liking for gin   ##liking
joy## a joy to behold   ##joy
joy## the pleasure of his company   ##joy
joy## the new car is a delight   ##joy
fear## he suffered an attack of nerves   ##nervousness
disgust## cherish their official political freedom with fierce jealousy"-Paul Blanshard   ##jealousy
disgust## he opposed a policy of American isolation   ##isolation
disgust## not everyone regards humility as a virtue   ##humility
disgust## he was filled with humility at the sight of the Pope   ##humility
disgust## he could not conceal his hostility   ##hostility
disgust## he could no longer contain his hostility   ##hostility
anticipation## it revived their hope of winning the pennant   ##hope
anticipation## in spite of his troubles he never gave up hope   ##hope
anticipation## there is little or no promise that he will recover   ##hope
anticipation## he was their best hope for a victory   ##hope
anger## so great was his harassment that he wanted to destroy his tormentors   ##harassment
anger## an agony of doubt   ##torment
anger## the torments of the damned   ##torment
disgust## holding a grudge   ##grudge
disgust## settling a score   ##grudge
disgust## she made good marks in algebra   ##score
disgust## grade A milk   ##score
disgust## what was your score on your homework?   ##score
disgust## he studied the score of the sonata   ##score
disgust## the score was 7 to 0   ##score
disgust## a score were sent out but only one returned   ##score
disgust## don't do it on my account   ##score
disgust## the paper was rejected on account of its length   ##score
disgust## he tried to blame the victim but his success on that score was doubtful   ##score
disgust## he didn't know the score   ##score
disgust## add it to my score and I'll settle later   ##score
disgust## the winning score came with less than a minute left to play   ##score
disgust## calling his seduction of the girl a `score' was a typical example of male slang   ##score
trust## he was overwhelmed with gratitude for their help   ##gratitude
trust## the victor's grace in treating the vanquished   ##goodwill
sadness## he struck a match to dispel the gloom   ##gloom
sadness## gloom pervaded the office   ##gloom
anger## hell hath no fury like a woman scorned   ##fury
anger## his face turned red with rage   ##fury
anger## the storm's violence   ##fury
anger## she fell into a rage and refused to answer   ##rage
anger## his rage for fame destroyed him   ##rage
anger## the sea hurled itself in thundering rage against the rocks   ##rage
anger## he always follows the latest fads   ##rage
anger## it was all the rage that season   ##rage
anger## trying to drive through a blizzard is the height of folly   ##madness
anger## adjusting to an insane society is total foolishness   ##madness
anger## poetry is a sort of divine madness   ##madness
anger## her constant complaints were the main source of his frustration   ##frustration
joy,anticipation,fear## a frisson of surprise shot through him   ##shiver
joy,anticipation,fear## the shaking of his fingers as he lit his pipe   ##quiver
joy,anticipation,fear## they got a great bang out of it   ##thrill
joy,anticipation,fear## what a boot!   ##thrill
joy,anticipation,fear## he got a quick rush from injecting heroin   ##thrill
joy,anticipation,fear## he does it for kicks   ##thrill
joy,anticipation,fear## the thrills of space travel   ##thrill
sadness## the nakedness of the landscape   ##desolation
trust## they have the illusion that I am very wealthy   ##fancy
trust## he had a fondness for whiskey   ##fancy
anger## he had a fit   ##fit
anger## she threw a tantrum   ##fit
anger## he made a scene   ##fit
anger## a paroxysm of giggling   ##fit
anger## a fit of coughing   ##fit
anger## convulsions of laughter   ##fit
anger## I admired the fit of her coat   ##fit
anger## a burst of applause   ##fit
anger## a fit of housecleaning   ##fit
anger## the police returned to the scene of the crime   ##scene
anger## their parting was a sad scene   ##scene
anger## the most desirable feature of the park are the beautiful views   ##scene
anger## the political picture is favorable   ##scene
anger## the religious scene in England has changed in the last century   ##scene
anger## the first act has three scenes   ##scene
anger## he painted scenes from everyday life   ##scene
anger## figure 2 shows photographic and schematic views of the equipment   ##scene
anger## the perfect setting for a ghost story   ##scene
anger## they worked all night painting the scenery   ##scene
anticipation## in a fever of resentment   ##fever
trust## the outcome was in his favor   ##favor
trust## that style is in favor this season   ##favor
joy## he could hardly conceal his excitement when she agreed   ##excitement
joy## his face was flushed with excitement and his hands trembled   ##excitement
joy## he tried to calm those who were in a state of extreme inflammation   ##excitement
joy## he looked forward to the excitements of the day   ##excitement
joy## enthusiasm for his program is growing   ##enthusiasm
disgust## he is currently suffering financial embarrassments   ##embarrassment
disgust## the outcome of the vote was an embarrassment for the liberals   ##embarrassment
disgust## an embarrassment of riches   ##embarrassment
anticipation## they built a car that runs on electricity   ##electricity
anticipation## the stage crackled with electricity whenever she was on it   ##electricity
trust,fear## New York traffic is a constant concern   ##worry
trust,fear## it's a major worry   ##worry
trust,fear## his worry over the prospect of being fired   ##worry
trust,fear## it is not work but worry that kills   ##worry
trust,fear## he wanted to die and end his troubles   ##worry
trust,fear## one trouble after another delayed the job   ##trouble
trust,fear## what's the problem?   ##trouble
trust,fear## he didn't want to make a fuss   ##trouble
trust,fear## they had labor trouble   ##trouble
trust,fear## a spot of bother   ##trouble
trust,fear## what is the trouble?   ##trouble
trust,fear## heart trouble   ##trouble
trust,fear## I went to a lot of trouble   ##trouble
trust,fear## he won without any trouble   ##trouble
trust,fear## had difficulty walking   ##trouble
trust,fear## finished the test only with great difficulty   ##trouble
trust,fear## he got several girls in trouble   ##trouble
disgust## my dislike of him was instinctive   ##dislike
trust## their devotion to each other was beautiful   ##devotion
trust## the devotion of his time and wealth to science   ##devotion
trust## he returned to his devotions   ##devotion
fear## in the depths of despair   ##despair
fear## they were rescued from despair at the last minute   ##despair
fear## courage born of desperation   ##despair
fear## they moaned in despair and dismay   ##despair
fear## one harsh word would send her into the depths of despair   ##despair
sadness## a low moved in over night bringing sleet and snow   ##depression
sadness## he left the impression of his fingers in the soft mud   ##depression
